,idandtype,productname,company,interest_type,deposit_type,highest_rate,deposit_limit,period,monthly_interest,preference,review_counts,average_rate
263,38DEPOSIT,우리사랑나누미적금,woori,단리,자유적립,1.5,제한없음 ~ 100만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1%우대 시 1.5%12개월기본 1.15%우대 시 1.65%24개월기본 1.2%우대 시 1.7%36개월기본 1.25%우대 시 1.75%
","""다음과 같은 경우 최대 연 0.5%p
1. 만기해지 시 지급되는 다음 각 호의 어느 하나에 해당하는 금액을 예금주가
 지정한 비영리 법인(단체 포함) 중 법정 / 지정기부금단체(종교단체, 공익단체, 공
공기관 등)의 예금계좌로 자동이체 등록하여 입금하는 경우 연 0.3%p
가. 우대이율이 적용된 이자
나. 이자 전액
다. 이자 전액과 원금의 일부
2. 만기해지 시 원금 및 이자 전액을 비영리 법인(단체포함) 중 법정 / 지정
 기부금단체(종교단체, 공익단체, 공공기관 등)에 자동이체 하는 경우 연 0.5%p""
",0,
264,390DEPOSIT,리틀빅 정기예금,kebhana,단리,자유적립,2.45,100만원 ~ 500만원,12개월 고정,"
개월별 기본금리
12개월기본 1.65%우대 시 2.45%
","""1. 체크카드 신규 우대 
이 예금 가입일에 하나체크카드 신규시 1백만원까지 금액에 대해 연 0.5% 우대 
(인터넷뱅킹/스마트폰뱅킹/콜센터를 통해 본 상품 가입 시에는 하나체크카드 신규 우대 이율 대신 인터넷뱅킹/스마트폰뱅킹/콜센터 우대이율 0.5% 제공)
2. 하나카드 유실적 우대 
가입 후 1년이내(가입월 ~ 만기 전월까지) 하나카드 100만원 이상 하나은행 결제계좌 결제 시 연 0.3% 우대""
",0,
265,391DEPOSIT,MMDA형 정기예금,kebhana,단리,자유적립,1.5,300만원 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.5%우대 시 1.5%
",,0,
266,392DEPOSIT,OK VIP 정기적금,ok_sb,단리,정기적립,4.8,20만원 ~ 29만원,12개월 고정,"
개월별 기본금리
12개월기본 2.5%우대 시 4.8%
","""방카슈랑스 가입 시 우대금리 제공
- 1만원이상~20만원미만 : 2.4%
- 20만원이상~30만원미만 : 1.5%
- 30만원이상~50만원미만 : 0.9%""",1,4.0
267,393DEPOSIT,OK VIP 정기적금,ok_sb,단리,정기적립,4.2,30만원 ~ 49만원,12개월 고정,"
개월별 기본금리
12개월기본 2.5%우대 시 4.2%
","""방카슈랑스 가입 시 우대금리 제공
- 1만원이상~20만원미만 : 2.4%
- 20만원이상~30만원미만 : 1.5%
- 30만원이상~50만원미만 : 0.9%""",1,4.0
268,394DEPOSIT,올포미 적금,woori,단리,정기적립,1.55,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.55%우대 시 1.55%12개월기본 1.65%우대 시 1.65%24개월기본 1.7%우대 시 1.7%36개월기본 1.75%우대 시 1.75%
","- 신규 시 아래항목 충족 시 최고 연0.2%p
1. 올포미 신용 카드 보유 및 우리은행 결제계좌 지정 연 0.2%p
2. 우리은행 첫거래 고객 연 0.1%p
3. 급여/연금치에 고객 연0.1%p
4. 통신비/공과금 자동이체 고객 연0.1%p",0,
269,395DEPOSIT,우리웰리치100적금,woori,단리,자유적립,1.4,제한없음 ~ 300만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.4%우대 시 1.4%24개월기본 1.5%우대 시 1.5%36개월기본 1.6%우대 시 1.6%
","- 신규 시 아래항목 충족 시 최고 연0.2%p
1. 연금이체 실적 보유 연 0.1%p
2. 우리웰리치100연금통장에서 자동이체 연 0.1%p
3. 우리신용/체크카드 보유 연0.1%p
4. 인터넷/스마트뱅킹으로 가입 연0.1%p",0,
270,396DEPOSIT,우리웰리치100적금,woori,단리,정기적립,2.05,제한없음 ~ 300만원,12개월 고정,"
개월별 기본금리
12개월기본 2.05%우대 시 2.05%
","- 신규 시 아래항목 충족 시 최고 연0.2%p
1. 연금이체 실적 보유 연 0.1%p
2. 우리웰리치100연금통장에서 자동이체 연 0.1%p
3. 우리신용/체크카드 보유 연0.1%p
4. 인터넷/스마트뱅킹으로 가입 연0.1%p",0,
271,397DEPOSIT,우리아이행복적금(12개월회전식),woori,단리,정기적립,2.2,제한없음 ~ 100만원,12개월 고정,"
개월별 기본금리
12개월기본 2.2%우대 시 2.2%
","- 아래 조건 충족 시 최고 연0.2%p
1. 부모와 자녀 동시가입 연0.1%p
2. 유후/아이행복 통장에서 자동이체등록 연0.1%p
3. 직전회전기간동안 100만원이상 납입 연0.1%p
4. 인터넷/스마트뱅킹으로 가입 연0.1%p",0,
272,398DEPOSIT,위비꿀적금,woori,단리,정기적립,1.5,5만원 ~ 50만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 1.75%우대 시 1.75%24개월기본 1.8%우대 시 1.8%36개월기본 1.85%우대 시 1.85%
","- 최고 연 0.5%p
1. 우리신용카드 최초가입 & 만기해지시까지 신용카드 보유 연 0.1%p
2. 우리카드 결제계좌 등록 & 만기해지시까지 유지 연0.2%p",0,
273,399DEPOSIT,우리꿈적금,woori,단리,정기적립,1.05,제한없음 ~ 300만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.05%우대 시 1.05%12개월기본 1.5%우대 시 1.5%24개월기본 1.55%우대 시 1.55%36개월기본 1.6%우대 시 1.6%
","- 최고 연 0.6%p
1. 스마트뱅킹가입 연 0.2%p
2. 우리은행 또는 제휴업체 발급 금리우대쿠폰 등록 연 0.1%p
3. 친구번호 등록(연 0.1%p), 지인이 내 친구번호 등록(각 연 0.1%p), 최고 연 0.3%p 추가이율",0,
274,39DEPOSIT,우리기업적금,woori,단리,자유적립,100.0,제한없음 ~ 제한없음,100개월 ~ 0개월,"
개월별 기본금리

","아래항목에 해당하는 경우 항목당 0.1%% 우대(최고 0.2%p)
- 저탄소 녹색성장기업 및 당행 선정 신성장총력산업 관련기업
- 종업원 월급여이체 기업
- 우리 V기업적금카드 또는 가맹점 결제계좌 당행 이용 기업(고정금리형에 한함)",0,
275,400DEPOSIT,수요일이 즐거운 iTouch 문화적금,woori,단리,정기적립,1.65,제한없음 ~ 300만원,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.65%우대 시 1.65%12개월기본 1.75%우대 시 1.75%
",- 매주 수요일 입금 금액 연 0.3%p 적용,0,
276,401DEPOSIT,스마트금연적금,woori,단리,정기적립,1.65,제한없음 ~ 10만원,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.65%우대 시 1.65%12개월기본 1.75%우대 시 1.75%
","- 스마트폰 Push 器能과 연동한 간편입금 서비스 제공 
- 로그인 및 공인인증서 없이 Push 알림 클릭만으로 저축 가능",0,
277,402DEPOSIT,우리사랑플러스적금,woori,단리,정기적립,1.4,제한없음 ~ 50만원,12개월 고정,"
개월별 기본금리
12개월기본 1.4%우대 시 1.4%
","1. 우대이자율 최고 연 0.5%p
   (순신규 / 공과금 및 관리비 자동이체 / ISA 가입 / 신용카드 가맹점 결제계좌/5인이상단체가입)
2. 특별이자율 최고 연 1.5%p[0.5%p 기부]
   (우리카드 연간 5백만원 이상 사용)",0,
278,403DEPOSIT,위비톡적금,woori,단리,정기적립,1.4,제한없음 ~ 50만원,12개월 고정,"
개월별 기본금리
12개월기본 1.4%우대 시 1.4%
","최고 연 0.7%p
1. 위비톡 바로가입 메뉴로 가입 연0.2%p
2. 위비톡 친구초대 최대 연0.2%p 
3. 위비톡으로 상품아이디어 제공 연0.1%p
4. 스마트간편신규 연0.1%p
5. 첫거래 연0.2%p",0,
279,404DEPOSIT,퍼스트기업적금,sc,단리,정기적립,1.2,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.3%우대 시 1.3%24개월기본 1.3%우대 시 1.3%36개월기본 1.3%우대 시 1.3%
",없음,0,
280,405DEPOSIT,정기적금,citi,단리,자유적립,1.0,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1%우대 시 1%24개월기본 1.2%우대 시 1.2%36개월기본 1.4%우대 시 1.4%
",없음,0,
281,406DEPOSIT,내손안에 적금,dgb,단리,정기적립,1.46,10만원 ~ 100만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.46%우대 시 1.46%24개월기본 1.48%우대 시 1.48%36개월기본 1.5%우대 시 1.5%
","* 최고우대금리 : 0.3%
 - 최초가입 우대 : 0.2%
 - 비대면채널 거래실적 우대 : 0.1%

※ 단위는 연%p",0,
282,407DEPOSIT,독도적금,dgb,단리,정기적립,1.44,10만원 ~ 100만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.44%우대 시 1.44%24개월기본 1.48%우대 시 1.48%36개월기본 1.52%우대 시 1.52%
","1. 거래실적 우대이율 : 최대 연0.2%p
2. 독도명예주민 또는 독도아카데미 수료증 보유: 연 0.1%p
단, 1+2조건 합산 최대 연 0.25%p",0,
283,408DEPOSIT,최강삼성V9 적금,dgb,단리,정기적립,1.16,10만원 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.16%우대 시 1.16%
","* 최고우대금리 : 0.25%
 - 신규시 주택청약상품 보유 우대 : 0.1%
 - 신규시 공과금 2건이상 보유 우대 : 0.05%
 - 삼성라이온즈 정규시즌 우승 우대 : 0.05%
 - 삼성라이온즈 한국시리즈 우승 우대 : 0.1%
 - 만기시 공과금 2건이상 보유 우대 : 0.05%

※ 단위는 연%p",0,
284,409DEPOSIT,DGB주거래우대적금(첫만남고객형),dgb,단리,정기적립,1.44,10만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.44%우대 시 1.44%24개월기본 1.48%우대 시 1.48%36개월기본 1.52%우대 시 1.52%
","1. 거래실적 우대이율 : 최대 연0.2%p
2. 인터넷/사이버지점에서 가입시 연0.05%p",0,
285,40DEPOSIT,우리e-자유적금,woori,단리,자유적립,1.05,"제한없음 ~ 1,000만원",6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.05%우대 시 1.05%12개월기본 1.2%우대 시 1.2%24개월기본 1.25%우대 시 1.25%36개월기본 1.3%우대 시 1.3%
",,0,
286,410DEPOSIT,쓰담쓰담적금,dgb,단리,자유적립,1.35,10만원 ~ 100만원,12개월 고정,"
개월별 기본금리
12개월기본 1.35%우대 시 1.35%
","* 최고우대금리 : 1.4%
 - 첫예금 우대 : 0.1%
 - 패키지 우대 : 0.1%
 - 급여이체 우대 : 0.1%
 - 재예치 우대 : 0.3%

※ 단위는 연%p",0,
287,411DEPOSIT,쓰담쓰담적금,dgb,단리,정기적립,1.35,10만원 ~ 100만원,12개월 고정,"
개월별 기본금리
12개월기본 1.35%우대 시 1.35%
","* 최고우대금리 : 1.4%
 - 첫예금 우대 : 0.1%
 - 패키지 우대 : 0.1%
 - 급여이체 우대 : 0.1%
 - 재예치 우대 : 0.3%

※ 단위는 연%p",0,
288,412DEPOSIT,ISA플러스 적금,dgb,단리,정기적립,1.16,10만원 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.16%우대 시 1.16%
","* 최고우대금리 : 0.4%
 - 신규시 ISA계좌 10만원 이상 보유 우대 : 0.1%
 - 신규시 공과금 3건이상 보유 우대 : 0.1%
 - 만기시 ISA계좌 10만원 이상 보유 우대 : 0.1%
 - 만기시 공과금 3건이상 보유 우대 : 0.1%

※ 단위는 연%p",0,
289,413DEPOSIT,e-U(이유)적금,dgb,단리,자유적립,1.26,10만원 ~ 200만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.26%우대 시 1.26%24개월기본 1.28%우대 시 1.28%36개월기본 1.3%우대 시 1.3%
","* 최고우대금리 : 0.6%
 - 재예치 우대 : 0.2%
 - 비대면채널 거래실적 우대 : 0.1%
 - 3개월 평잔 30만원 보유  우대 : 0.1%
 - 주택청약상품 보유 우대 : 0.2%

※ 단위는 연%p",0,
290,414DEPOSIT,KJB주거래적금,gwangju,단리,정기적립,1.2,1만원 ~ 50만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.2%우대 시 1.2%24개월기본 1.3%우대 시 1.3%36개월기본 1.4%우대 시 1.4%
","* 최고 우대금리: 1.3%
- 신규고객 : 0.3%
- 당행대출보유 : 0.2%
- 만18세 이하 : 0.2%
- 자동이체실적우대 : 최고 0.4%
- 신용(체크)카드 사용우대 : 최고 0.3%",0,
291,415DEPOSIT,모아모아월복리적금,jeju,복리,자유적립,1.9,1만원 ~ 제한없음,36개월 고정,"
개월별 기본금리
36개월기본 1.9%우대 시 1.9%
","- 교차우대 최고 연 0.3%p(항목별 연 0.1%p)
①유동성예금 가입
②거치식,적립식예금, 방카,펀드 가입
③고객정보(CIF) 최초 등록
④자동대체 등록
- 추가우대(최고 0.1%p)
①탐나는J직장인통장 or 주거래통장 가입(기본요건충족)",0,
292,416DEPOSIT,정기적금,jbb,단리,자유적립,1.1,"제한없음 ~ 1,000만원",6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.2%우대 시 1.2%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
",없음,0,
293,417DEPOSIT,정기적금,jbb,단리,정기적립,1.2,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.4%우대 시 1.4%24개월기본 1.5%우대 시 1.5%36개월기본 1.6%우대 시 1.6%
",없음,0,
294,418DEPOSIT,JB 다이렉트적금,jbb,단리,자유적립,1.8,"제한없음 ~ 1,000만원",12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.8%우대 시 1.8%24개월기본 1.85%우대 시 1.85%36개월기본 1.95%우대 시 1.95%
","추가우대금리 :
당행 계좌간 자동이체를 통해 이 예금으로 자동이체 된 금액에 0.1% 금리 우대",0,
295,419DEPOSIT,JB 행복투어적금,jbb,단리,정기적립,1.1,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.2%우대 시 1.2%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
","추가우대금리 : 최고 연 0.3% 우대
- 첫회제외 모든회차 자동이체 불입시 연 0.1% 우대
- 인터넷뱅킹 계좌 신규시 연 0.1% 우대
- 만기까지 정상 불입시 연 0.1% 우대",0,
296,41DEPOSIT,우리V자유적금,woori,복리,자유적립,1.5,"제한없음 ~ 10,000만원",12개월 고정,"
개월별 기본금리
12개월기본 1%우대 시 1.5%
","""1. 가입 후 3개월간 신용카드 사용실적이 50만원 이상인 경우 연 0.20%p
2. 회전주기별 신용카드 총 사용액≥적금 총 불입액인 경우 연 0.30%p""
",0,
297,420DEPOSIT,JB 행복결혼적금,jbb,단리,정기적립,1.1,"10만원 ~ 1,000만원",6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.2%우대 시 1.2%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
","추가우대금리 : 최고 연 0.3% 우대
- 첫회제외 모든회차 자동이체 불입시 연 0.1% 우대
- 인터넷뱅킹 계좌 신규시 연 0.1% 우대
- 만기까지 정상 불입시 연 0.1% 우대",0,
298,421DEPOSIT,JB 행복드림적금,jbb,단리,자유적립,1.1,1만원 ~ 50만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.2%우대 시 1.2%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
","추가우대금리 : 최고 연 3.0% 우대(서류제출시)
- 기초생활수급자,        - 한부모 가정
- 소녀소녀가장세대주   - 근로장려금 수급자  
- 다문화가정
- 차상위계층이하 만65세이상 고령자",0,
299,422DEPOSIT,JB 온과빛함께적금,jbb,단리,정기적립,1.35,1만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.35%우대 시 1.35%24개월기본 1.35%우대 시 1.35%36개월기본 1.4%우대 시 1.4%
","추가우대:최고 연0.8%우대 1.전북은행최초거래시 연0.2% 우대, 2.만18세이하가입시 연0.2%우대, 3.자동이체로납입시(계약기간1/2이상) 연0.2%우대, 4.만기전6개월내신용카드사용금액에 따라 연0.1%~0.2%우대",0,
300,423DEPOSIT,JB퍼스트주거래적금,jbb,단리,자유적립,1.2,"1만원 ~ 1,000만원",12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.2%우대 시 1.2%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
","추가우대:최고연0.4%우대1.JB퍼스트통장가입후적금신규시연0.1%우대,2.기간이3년이상인경우연0.1%우대,3.기간중3개월이상펀드상품보유시연0.1%우대,4.만기일최근6개월내카드매입실적이50만원이상인경우연0.1%우대",0,
301,424DEPOSIT,상호부금,jbb,단리,정기적립,1.1,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.3%우대 시 1.3%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
",없음,0,
302,425DEPOSIT,시장금리부 상호부금,jbb,단리,정기적립,1.2,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.35%우대 시 1.35%24개월기본 1.35%우대 시 1.35%36개월기본 1.4%우대 시 1.4%
",없음,0,
303,426DEPOSIT,인터넷상호부금,jbb,단리,정기적립,1.3,"제한없음 ~ 1,000만원",6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 1.45%우대 시 1.45%24개월기본 1.45%우대 시 1.45%36개월기본 1.5%우대 시 1.5%
",없음,0,
304,427DEPOSIT,스마트상호부금,jbb,단리,정기적립,1.4,제한없음 ~ 300만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.4%우대 시 1.4%12개월기본 1.55%우대 시 1.55%24개월기본 1.55%우대 시 1.55%36개월기본 1.6%우대 시 1.6%
","추가우대금리 : 최고 연 0.3% 우대
- 가입시 JB플러스급여통장 보유시 연 0.1% 우대
- 최근 1개월이내 신용카드 사용고객 연 0.1% 우대
- 상호부금 가입기간 1년이상인 경우 연 0.1% 우대",0,
305,428DEPOSIT,모아마니통장,jbb,단리,자유적립,1.4,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.4%우대 시 1.4%12개월기본 1.55%우대 시 1.55%24개월기본 1.55%우대 시 1.55%36개월기본 1.55%우대 시 1.55%
",없음,0,
306,429DEPOSIT,바로대출통장,jbb,단리,자유적립,1.6,1만원 ~ 500만원,12개월 고정,"
개월별 기본금리
12개월기본 1.6%우대 시 1.6%
","추가우대금리 : 
자동이체로 납입한 금액에 대하여 약정이율에 0.1% 금리 우대",0,
307,42DEPOSIT,퍼스트가계적금 - 정기적립,sc,단리,정기적립,1.3,10만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 1.6%우대 시 1.6%24개월기본 1.65%우대 시 1.65%36개월기본 1.7%우대 시 1.7%
",없음,2,5.0
308,430DEPOSIT,더플러스정액적금,suhyup,단리,정기적립,1.6,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.6%우대 시 1.6%24개월기본 1.7%우대 시 1.7%36개월기본 1.8%우대 시 1.8%
","* 최고 우대금리 : 0.9%
 - 첫거래고객: 최고 0.4%
 - 2인이상동시가입: 0.1%
 - 급여이체: 0.2%
 - 카드거래: 최고 0.3%
 - 정기예금: 0.1%
 - 대출거래: 0.1%
 - 정액적립식거래: 0.2%
 - 인터넷뱅킹적금신규: 0.1%
 - 아파트관리비자동이체: 0.2%
※ 단위는 연%p",0,
309,431DEPOSIT,SH월복리자유적금,suhyup,복리,자유적립,1.5,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.5%우대 시 1.5%24개월기본 1.6%우대 시 1.6%36개월기본 1.7%우대 시 1.7%
","* 최고 우대금리 : 0.7% 
 - 첫거래고객: 0.3%
 - 카드거래: 최고 0.3%
 - 복수거래: 0.1%
 - 요구불거래: 최고 0.2%
 - 인터넷뱅킹고객: 0.1%
 - 자동이체실적: 0.1%
※ 단위는 연%p",0,
310,432DEPOSIT,SH100세만기자유적금,suhyup,단리,자유적립,1.65,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.65%우대 시 1.65%24개월기본 1.65%우대 시 1.65%36개월기본 1.65%우대 시 1.65%
","* 최고 우대금리 : 0.3%
 - 계좌이동제이동고객: 0.1%
 - 복수거래고객: 0.1%
 - 자동이체고객: 0.1%
 - Sh평생주거래통장고객: 0.1%
 - 칠순,팔순고객: 0.1%
 - 서민고객: 0.1%
※ 단위는 연%p",0,
311,433DEPOSIT,정기적금,osb_sb,단리,자유적립,2.2,1만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%36개월기본 2.4%우대 시 2.4%
",없음,0,
312,434DEPOSIT,푸른정기적금 (프리스타일적금),pureun_sb,단리,정기적립,2.4,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.4%12개월기본 2.6%우대 시 2.6%24개월기본 2.6%우대 시 2.6%36개월기본 2.6%우대 시 2.6%
",없음,0,
313,435DEPOSIT,정기적금,thek_sb,단리,자유적립,1.5,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 1.8%우대 시 1.8%24개월기본 2%우대 시 2%36개월기본 2%우대 시 2%
",- 인터넷뱅킹 연 0.1% 스마트폰뱅킹 연 0.1% 계열사 상품 가입시 연 0.2%,0,
314,436DEPOSIT,정기적금,thek_sb,단리,정기적립,2.1,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.1%우대 시 2.1%12개월기본 2.5%우대 시 2.5%24개월기본 2.6%우대 시 2.6%36개월기본 2.7%우대 시 2.7%
",- 인터넷뱅킹 연 0.1% 스마트폰뱅킹 연 0.1% 계열사 상품 가입시 연 0.2%,0,
315,437DEPOSIT,정기적금(월수),shinan_sb,단리,정기적립,2.4,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.4%12개월기본 2.8%우대 시 2.8%24개월기본 2.8%우대 시 2.8%36개월기본 2.8%우대 시 2.8%
",없음,0,
316,438DEPOSIT,스마트정기적금,shinan_sb,단리,정기적립,2.4,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.4%12개월기본 2.9%우대 시 2.9%24개월기본 2.9%우대 시 2.9%36개월기본 2.9%우대 시 2.9%
",없음,0,
317,439DEPOSIT,정기적금(자유적립식),shinan_sb,단리,자유적립,1.9,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.9%우대 시 1.9%12개월기본 2.3%우대 시 2.3%24개월기본 2.3%우대 시 2.3%36개월기본 2.3%우대 시 2.3%
",없음,0,
318,43DEPOSIT,퍼스트가계적금 - 자유적립,sc,단리,자유적립,1.2,"1만원 ~ 1,000만원",6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.4%우대 시 1.4%24개월기본 1.45%우대 시 1.45%36개월기본 1.5%우대 시 1.5%
",없음,3,3.7
319,440DEPOSIT,정기적금,hanshin_sb,단리,정기적립,1.9,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.9%우대 시 1.9%12개월기본 2.3%우대 시 2.3%24개월기본 2.3%우대 시 2.3%36개월기본 2.3%우대 시 2.3%
",- 인터넷뱅킹 적금 가입 : 연 0.1%,0,
320,441DEPOSIT,정기적금,goryo_sb,단리,정기적립,2.1,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.1%우대 시 2.1%12개월기본 2.6%우대 시 2.6%24개월기본 2.8%우대 시 2.8%36개월기본 3%우대 시 3%
",- 인터넷뱅킹 가입시 연 0.1%,0,
321,442DEPOSIT,응답하라 2030정기적금,goryo_sb,단리,정기적립,2.5,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.5%우대 시 2.5%12개월기본 3%우대 시 3%24개월기본 3.2%우대 시 3.2%36개월기본 3.4%우대 시 3.4%
","- 만 20~30대 가입 가능
 - 18개월 이상+연 0.3%",0,
322,443DEPOSIT,씨앗정기적금,goryo_sb,단리,정기적립,2.3,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.3%우대 시 2.3%12개월기본 2.8%우대 시 2.8%24개월기본 3%우대 시 3%36개월기본 3.2%우대 시 3.2%
","- 18개월 이상+연 0.3%
 - 18개월 이상 가입건 중 적금만기원금예금으로 예치시 예금+연 0.2%",0,
323,444DEPOSIT,꿈 찾아 정기적금,kukje_sb,단리,정기적립,1.3,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 2.1%우대 시 2.1%24개월기본 2.1%우대 시 2.1%36개월기본 2.1%우대 시 2.1%
",없음,0,
324,445DEPOSIT,정기적금,dh_sb,단리,정기적립,2.0,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2%우대 시 2%12개월기본 2.6%우대 시 2.6%24개월기본 2.8%우대 시 2.8%36개월기본 2.8%우대 시 2.8%
",없음,0,
325,446DEPOSIT,정기적금,heungkuk_sb,복리,자유적립,2.3,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.3%우대 시 2.3%12개월기본 2.5%우대 시 2.5%24개월기본 2.7%우대 시 2.7%36개월기본 2.8%우대 시 2.8%
",없음,0,
326,447DEPOSIT,정기적금,heungkuk_sb,복리,정기적립,2.3,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.3%우대 시 2.3%12개월기본 2.5%우대 시 2.5%24개월기본 2.7%우대 시 2.7%36개월기본 2.8%우대 시 2.8%
",없음,0,
327,448DEPOSIT,정기적금,heungkuk_sb,단리,자유적립,2.3,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.3%우대 시 2.3%12개월기본 2.5%우대 시 2.5%24개월기본 2.7%우대 시 2.7%36개월기본 2.8%우대 시 2.8%
",없음,0,
328,449DEPOSIT,정기적금,heungkuk_sb,단리,정기적립,2.3,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.3%우대 시 2.3%12개월기본 2.5%우대 시 2.5%24개월기본 2.7%우대 시 2.7%36개월기본 2.8%우대 시 2.8%
",없음,0,
329,44DEPOSIT,SC행복적금,sc,단리,정기적립,4.0,1만원 ~ 30만원,12개월 고정,"
개월별 기본금리
12개월기본 3.7%우대 시 4%
","우대이율 적용조건 : 만기 시점을 기준으로 당행 입출금통장을 출금 계좌로 하여 SC행복드림적금으로 자동이체 5회 이상 실적이 있는 경우
",0,
330,450DEPOSIT,정기적금,woolee_sb,단리,정기적립,2.4,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.4%12개월기본 2.9%우대 시 2.9%24개월기본 3%우대 시 3%36개월기본 3.1%우대 시 3.1%
",없음,0,
